[I 240117 14:00:28 policy_utils:158] {
      "env": "MovieLensEnv-v0",
      "user_model_name": "DeepFM",
      "seed": 2023,
      "cuda": 6,
      "remove_recommended_ids": false,
      "draw_bar": false,
      "is_userinfo": true,
      "is_all_item_ranking": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "use_pretrained_embedding": true,
      "exploration_noise": false,
      "explore_eps": 0.01,
      "need_state_norm": false,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "random_init": true,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "dilations": "[1, 2, 1, 2, 1, 2]",
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 100,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "n_step": 3,
      "update_per_step": 0.125,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 100000,
      "step_per_collect": 100,
      "repeat_per_collect": 1,
      "logdir": "log",
      "read_message": "pointneg_0",
      "all_item_ranking": false,
      "is_binarize": true,
      "need_transform": true,
      "use_auxiliary": true,
      "entropy_window": [
        1,
        2
      ],
      "rating_threshold": 4,
      "yfeat": "rating",
      "leave_threshold": 75,
      "num_leave_compute": 7,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "model_name": "A2C_pre",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "message": "A2C_0",
      "hostname": "server3"
    }
[I 240117 14:08:50 loggers:84] Epoch: [1], Info: [{'num_test': 100, 'len_tra': 9.45, 'R_tra': 33.31568095207214, 'ctr': '3.52547', 'CV': '0.04934', 'CV_turn': '0.20635', 'Diversity': '0.92132', 'Novelty': '5.79279', 'ifeat_feat': 0.780952380952381, 'NX_0_len_tra': 16.39, 'NX_0_R_tra': 39.57299736857414, 'NX_0_ctr': '2.41446', 'NX_0_CV': '0.07642', 'NX_0_CV_turn': '0.18426', 'NX_0_Diversity': '0.99314', 'NX_0_Novelty': '5.92923', 'NX_0_ifeat_feat': 0.7681513117754728, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.23541406467557, 'NX_10_ctr': '2.42354', 'NX_10_CV': '0.05364', 'NX_10_CV_turn': '0.21200', 'NX_10_Diversity': '0.99341', 'NX_10_Novelty': '5.76147', 'NX_10_ifeat_feat': 0.775}]
[I 240117 15:03:53 loggers:84] Epoch: [12], Info: [{'num_test': 100, 'len_tra': 14.02, 'R_tra': 49.94583999156952, 'ctr': '3.56247', 'CV': '0.03036', 'CV_turn': '0.08559', 'Diversity': '0.92379', 'Novelty': '6.38406', 'ifeat_feat': 0.7938659058487875, 'NX_0_len_tra': 27.97, 'NX_0_R_tra': 69.58946243852377, 'NX_0_ctr': '2.48800', 'NX_0_CV': '0.04175', 'NX_0_CV_turn': '0.05899', 'NX_0_Diversity': '0.99355', 'NX_0_Novelty': '6.36907', 'NX_0_ifeat_feat': 0.8105112620664998, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.534537662342192, 'NX_10_ctr': '2.35345', 'NX_10_CV': '0.02733', 'NX_10_CV_turn': '0.10800', 'NX_10_Diversity': '0.99361', 'NX_10_Novelty': '6.44089', 'NX_10_ifeat_feat': 0.782}]
[I 240117 15:08:35 loggers:84] Epoch: [13], Info: [{'num_test': 100, 'len_tra': 15.3, 'R_tra': 53.868004057407376, 'ctr': '3.52078', 'CV': '0.03264', 'CV_turn': '0.08431', 'Diversity': '0.96380', 'Novelty': '6.25563', 'ifeat_feat': 0.8163398692810457, 'NX_0_len_tra': 27.95, 'NX_0_R_tra': 70.45230176106095, 'NX_0_ctr': '2.52065', 'NX_0_CV': '0.03593', 'NX_0_CV_turn': '0.05081', 'NX_0_Diversity': '0.99353', 'NX_0_Novelty': '6.28787', 'NX_0_ifeat_feat': 0.8110912343470483, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.060468792021275, 'NX_10_ctr': '2.40605', 'NX_10_CV': '0.02859', 'NX_10_CV_turn': '0.11300', 'NX_10_Diversity': '0.99356', 'NX_10_Novelty': '6.34403', 'NX_10_ifeat_feat': 0.783}]
[I 240117 15:12:55 loggers:84] Epoch: [14], Info: [{'num_test': 100, 'len_tra': 16.9, 'R_tra': 56.84259068131447, 'ctr': '3.36347', 'CV': '0.03112', 'CV_turn': '0.07278', 'Diversity': '0.96443', 'Novelty': '6.38813', 'ifeat_feat': 0.8071005917159764, 'NX_0_len_tra': 27.84, 'NX_0_R_tra': 69.27428503580391, 'NX_0_ctr': '2.48830', 'NX_0_CV': '0.03568', 'NX_0_CV_turn': '0.05065', 'NX_0_Diversity': '0.99357', 'NX_0_Novelty': '6.38809', 'NX_0_ifeat_feat': 0.7934626436781609, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.546937251910567, 'NX_10_ctr': '2.45469', 'NX_10_CV': '0.02733', 'NX_10_CV_turn': '0.10800', 'NX_10_Diversity': '0.99354', 'NX_10_Novelty': '6.39751', 'NX_10_ifeat_feat': 0.786}]
[I 240117 15:17:12 loggers:84] Epoch: [15], Info: [{'num_test': 100, 'len_tra': 15.48, 'R_tra': 53.449564242362975, 'ctr': '3.45281', 'CV': '0.03214', 'CV_turn': '0.08204', 'Diversity': '0.95077', 'Novelty': '6.39462', 'ifeat_feat': 0.7868217054263565, 'NX_0_len_tra': 27.98, 'NX_0_R_tra': 67.7415867882967, 'NX_0_ctr': '2.42107', 'NX_0_CV': '0.03796', 'NX_0_CV_turn': '0.05361', 'NX_0_Diversity': '0.99354', 'NX_0_Novelty': '6.32865', 'NX_0_ifeat_feat': 0.7909220872051466, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.1642598952353, 'NX_10_ctr': '2.41643', 'NX_10_CV': '0.02682', 'NX_10_CV_turn': '0.10600', 'NX_10_Diversity': '0.99359', 'NX_10_Novelty': '6.35961', 'NX_10_ifeat_feat': 0.792}]
[I 240117 15:21:35 loggers:84] Epoch: [16], Info: [{'num_test': 100, 'len_tra': 15.57, 'R_tra': 54.75272649407387, 'ctr': '3.51655', 'CV': '0.02935', 'CV_turn': '0.07450', 'Diversity': '0.93745', 'Novelty': '6.43542', 'ifeat_feat': 0.7700706486833655, 'NX_0_len_tra': 27.31, 'NX_0_R_tra': 66.51640922158957, 'NX_0_ctr': '2.43561', 'NX_0_CV': '0.03441', 'NX_0_CV_turn': '0.04980', 'NX_0_Diversity': '0.99347', 'NX_0_Novelty': '6.36620', 'NX_0_ifeat_feat': 0.8088612229952399, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.46866283342242, 'NX_10_ctr': '2.44687', 'NX_10_CV': '0.02885', 'NX_10_CV_turn': '0.11400', 'NX_10_Diversity': '0.99358', 'NX_10_Novelty': '6.22450', 'NX_10_ifeat_feat': 0.798}]
[I 240117 15:25:42 loggers:84] Epoch: [17], Info: [{'num_test': 100, 'len_tra': 15.47, 'R_tra': 52.889276119470594, 'ctr': '3.41883', 'CV': '0.02783', 'CV_turn': '0.07111', 'Diversity': '0.94455', 'Novelty': '6.34194', 'ifeat_feat': 0.8054298642533937, 'NX_0_len_tra': 28.16, 'NX_0_R_tra': 69.39343790978194, 'NX_0_ctr': '2.46426', 'NX_0_CV': '0.03593', 'NX_0_CV_turn': '0.05043', 'NX_0_Diversity': '0.99349', 'NX_0_Novelty': '6.30641', 'NX_0_ifeat_feat': 0.8061079545454546, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.739991743564605, 'NX_10_ctr': '2.37400', 'NX_10_CV': '0.02758', 'NX_10_CV_turn': '0.10900', 'NX_10_Diversity': '0.99355', 'NX_10_Novelty': '6.40281', 'NX_10_ifeat_feat': 0.815}]
[I 240117 15:29:51 loggers:84] Epoch: [18], Info: [{'num_test': 100, 'len_tra': 15.68, 'R_tra': 54.81492156863212, 'ctr': '3.49585', 'CV': '0.02910', 'CV_turn': '0.07334', 'Diversity': '0.96332', 'Novelty': '6.49254', 'ifeat_feat': 0.8022959183673469, 'NX_0_len_tra': 28.53, 'NX_0_R_tra': 71.09831750929355, 'NX_0_ctr': '2.49205', 'NX_0_CV': '0.03618', 'NX_0_CV_turn': '0.05012', 'NX_0_Diversity': '0.99346', 'NX_0_Novelty': '6.41087', 'NX_0_ifeat_feat': 0.7956536978618998, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 25.04250698402524, 'NX_10_ctr': '2.50425', 'NX_10_CV': '0.02834', 'NX_10_CV_turn': '0.11200', 'NX_10_Diversity': '0.99351', 'NX_10_Novelty': '6.47470', 'NX_10_ifeat_feat': 0.805}]
[I 240117 15:34:04 loggers:84] Epoch: [19], Info: [{'num_test': 100, 'len_tra': 14.85, 'R_tra': 51.457808811664584, 'ctr': '3.46517', 'CV': '0.02783', 'CV_turn': '0.07407', 'Diversity': '0.94011', 'Novelty': '6.35851', 'ifeat_feat': 0.7784511784511785, 'NX_0_len_tra': 27.75, 'NX_0_R_tra': 69.69635329514742, 'NX_0_ctr': '2.51158', 'NX_0_CV': '0.03517', 'NX_0_CV_turn': '0.05009', 'NX_0_Diversity': '0.99336', 'NX_0_Novelty': '6.42438', 'NX_0_ifeat_feat': 0.7877477477477477, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 25.816706664562226, 'NX_10_ctr': '2.58167', 'NX_10_CV': '0.02961', 'NX_10_CV_turn': '0.11700', 'NX_10_Diversity': '0.99350', 'NX_10_Novelty': '6.27431', 'NX_10_ifeat_feat': 0.789}]
[I 240117 15:37:56 loggers:84] Epoch: [20], Info: [{'num_test': 100, 'len_tra': 14.57, 'R_tra': 51.36528884768486, 'ctr': '3.52541', 'CV': '0.02809', 'CV_turn': '0.07618', 'Diversity': '0.94539', 'Novelty': '6.18657', 'ifeat_feat': 0.8318462594371997, 'NX_0_len_tra': 28.37, 'NX_0_R_tra': 67.15565767303109, 'NX_0_ctr': '2.36714', 'NX_0_CV': '0.03340', 'NX_0_CV_turn': '0.04653', 'NX_0_Diversity': '0.99339', 'NX_0_Novelty': '6.38084', 'NX_0_ifeat_feat': 0.8188227000352485, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.93551193088293, 'NX_10_ctr': '2.39355', 'NX_10_CV': '0.02682', 'NX_10_CV_turn': '0.10600', 'NX_10_Diversity': '0.99358', 'NX_10_Novelty': '6.33205', 'NX_10_ifeat_feat': 0.831}]
[I 240117 15:41:54 loggers:84] Epoch: [21], Info: [{'num_test': 100, 'len_tra': 14.87, 'R_tra': 52.372647532224654, 'ctr': '3.52203', 'CV': '0.02834', 'CV_turn': '0.07532', 'Diversity': '0.92819', 'Novelty': '6.13483', 'ifeat_feat': 0.8312037659717552, 'NX_0_len_tra': 28.43, 'NX_0_R_tra': 70.93634319990873, 'NX_0_ctr': '2.49512', 'NX_0_CV': '0.03289', 'NX_0_CV_turn': '0.04573', 'NX_0_Diversity': '0.99351', 'NX_0_Novelty': '6.31101', 'NX_0_ifeat_feat': 0.8132254660569821, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 25.090769015848636, 'NX_10_ctr': '2.50908', 'NX_10_CV': '0.02657', 'NX_10_CV_turn': '0.10500', 'NX_10_Diversity': '0.99352', 'NX_10_Novelty': '6.31571', 'NX_10_ifeat_feat': 0.835}]
[I 240117 15:45:32 loggers:84] Epoch: [22], Info: [{'num_test': 100, 'len_tra': 15.28, 'R_tra': 53.089385635852814, 'ctr': '3.47444', 'CV': '0.02758', 'CV_turn': '0.07134', 'Diversity': '0.93929', 'Novelty': '6.40204', 'ifeat_feat': 0.8160994764397905, 'NX_0_len_tra': 27.92, 'NX_0_R_tra': 67.29963681966066, 'NX_0_ctr': '2.41045', 'NX_0_CV': '0.03467', 'NX_0_CV_turn': '0.04907', 'NX_0_Diversity': '0.99360', 'NX_0_Novelty': '6.31227', 'NX_0_ifeat_feat': 0.8037249283667621, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.80200792223215, 'NX_10_ctr': '2.48020', 'NX_10_CV': '0.02809', 'NX_10_CV_turn': '0.11100', 'NX_10_Diversity': '0.99366', 'NX_10_Novelty': '6.28572', 'NX_10_ifeat_feat': 0.811}]
[I 240117 15:49:32 loggers:84] Epoch: [23], Info: [{'num_test': 100, 'len_tra': 16.13, 'R_tra': 55.310754451751706, 'ctr': '3.42906', 'CV': '0.03062', 'CV_turn': '0.07502', 'Diversity': '0.96693', 'Novelty': '6.42437', 'ifeat_feat': 0.7910725356478612, 'NX_0_len_tra': 27.05, 'NX_0_R_tra': 67.45737227141858, 'NX_0_ctr': '2.49380', 'NX_0_CV': '0.03163', 'NX_0_CV_turn': '0.04621', 'NX_0_Diversity': '0.99353', 'NX_0_Novelty': '6.33209', 'NX_0_ifeat_feat': 0.7881700554528651, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.58849560961127, 'NX_10_ctr': '2.45885', 'NX_10_CV': '0.02606', 'NX_10_CV_turn': '0.10300', 'NX_10_Diversity': '0.99347', 'NX_10_Novelty': '6.35777', 'NX_10_ifeat_feat': 0.79}]
[I 240117 15:53:14 loggers:84] Epoch: [24], Info: [{'num_test': 100, 'len_tra': 13.67, 'R_tra': 49.288589819669724, 'ctr': '3.60560', 'CV': '0.02809', 'CV_turn': '0.08120', 'Diversity': '0.91785', 'Novelty': '6.34501', 'ifeat_feat': 0.8098024871982443, 'NX_0_len_tra': 28.17, 'NX_0_R_tra': 69.9747604446113, 'NX_0_ctr': '2.48402', 'NX_0_CV': '0.03188', 'NX_0_CV_turn': '0.04473', 'NX_0_Diversity': '0.99351', 'NX_0_Novelty': '6.31518', 'NX_0_ifeat_feat': 0.8111466098686546, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.962956386208536, 'NX_10_ctr': '2.49630', 'NX_10_CV': '0.02632', 'NX_10_CV_turn': '0.10400', 'NX_10_Diversity': '0.99353', 'NX_10_Novelty': '6.37517', 'NX_10_ifeat_feat': 0.827}]
[I 240117 15:56:45 loggers:84] Epoch: [25], Info: [{'num_test': 100, 'len_tra': 13.85, 'R_tra': 48.90282010316849, 'ctr': '3.53089', 'CV': '0.02682', 'CV_turn': '0.07653', 'Diversity': '0.94089', 'Novelty': '6.24798', 'ifeat_feat': 0.8216606498194946, 'NX_0_len_tra': 28.73, 'NX_0_R_tra': 72.8086236730218, 'NX_0_ctr': '2.53424', 'NX_0_CV': '0.03264', 'NX_0_CV_turn': '0.04490', 'NX_0_Diversity': '0.99353', 'NX_0_Novelty': '6.23041', 'NX_0_ifeat_feat': 0.81204316045945, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.98070958085358, 'NX_10_ctr': '2.49807', 'NX_10_CV': '0.02707', 'NX_10_CV_turn': '0.10700', 'NX_10_Diversity': '0.99355', 'NX_10_Novelty': '6.18556', 'NX_10_ifeat_feat': 0.822}]
[I 240117 16:00:09 loggers:84] Epoch: [26], Info: [{'num_test': 100, 'len_tra': 15.26, 'R_tra': 54.22692464232445, 'ctr': '3.55353', 'CV': '0.02707', 'CV_turn': '0.07012', 'Diversity': '0.94567', 'Novelty': '6.16669', 'ifeat_feat': 0.8152031454783748, 'NX_0_len_tra': 28.92, 'NX_0_R_tra': 72.09458846464753, 'NX_0_ctr': '2.49290', 'NX_0_CV': '0.03214', 'NX_0_CV_turn': '0.04391', 'NX_0_Diversity': '0.99357', 'NX_0_Novelty': '6.28395', 'NX_0_ifeat_feat': 0.8101659751037344, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.420080315321684, 'NX_10_ctr': '2.44201', 'NX_10_CV': '0.02758', 'NX_10_CV_turn': '0.10900', 'NX_10_Diversity': '0.99359', 'NX_10_Novelty': '6.21356', 'NX_10_ifeat_feat': 0.826}]
